year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2021,9,6,co,US,778708,261376,308770,187325
2021,9,6,ct,US,382004,134067,170930,99303
2021,9,6,dc,US,55350,26962,14117,9278
2021,9,6,de,US,135369,49750,56724,34188
2021,9,6,fl,US,3577074,1103798,1472433,865305
2021,9,6,ga,US,2111175,668540,923210,532404
2021,9,6,gu,US,54,52,51,49
2021,9,6,hi,US,185050,55212,62533,41167
2021,9,6,ia,US,631513,220239,304399,172188
2021,9,6,id,US,233592,85708,106861,66350
2021,9,6,il,US,1892817,642760,856081,498913
2021,9,6,in,US,1154722,393366,548138,313515
2021,9,6,ks,US,560569,187829,267915,152381
2021,9,6,ky,US,792083,266802,362213,209347
2021,9,6,la,US,811219,264352,358179,207165
2021,9,6,ma,US,669724,234399,280389,162718
2021,9,6,mb,CA,21503,13900,21503,13900
2021,9,6,md,US,695970,242812,295532,177637
2021,9,6,me,US,155104,55523,72753,42960
2021,9,6,mi,US,1361716,480358,656737,381191
2021,9,6,mn,US,754747,267326,343613,203260
2021,9,6,mo,US,1274572,422944,568898,327464
2021,9,6,mp,US,14,14,14,14
2021,9,6,ms,US,682754,225441,313804,182103
2021,9,6,mt,US,120298,46461,53768,34449
2021,9,6,nb,CA,8163,5532,8163,5532
2021,9,6,nc,US,1714298,558299,779074,449772
2021,9,6,nd,US,113923,42580,55170,32805
2021,9,6,ne,US,373598,128190,174244,98916
2021,9,6,nh,US,175345,62050,76815,44005
2021,9,6,nj,US,1209588,397280,525591,300928
2021,9,6,nl,CA,6079,3718,6079,3718
2021,9,6,nm,US,224903,86421,96102,60426
2021,9,6,ns,CA,9954,6901,9954,6901
2021,9,6,nt,CA,251,179,251,179
2021,9,6,nu,CA,117,75,117,75
2021,9,6,nv,US,509049,152713,165628,105323
2021,9,6,ny,US,2051067,725001,853617,513486
2021,9,6,oh,US,1861797,626111,881572,504420
2021,9,6,ok,US,883316,283271,401552,230713
2021,9,6,on,CA,176300,116673,176300,116673
2021,9,6,or,US,476512,173204,199164,128934
2021,9,6,pa,US,1582725,566802,725772,428005
2021,9,6,pe,CA,1541,1044,1541,1044
2021,9,6,pr,US,6401,4880,4123,3469
2021,9,6,qc,CA,92542,62705,92542,62705
2021,9,6,ri,US,121948,42330,48813,28364
2021,9,6,sc,US,1034845,335989,462452,264225
2021,9,6,sd,US,144003,50866,67003,38674
2021,9,6,sk,CA,18107,11691,18107,11691
2021,9,6,tn,US,1354112,444024,593393,346468
2021,9,6,tx,US,5438148,1671330,2315974,1347624
2021,9,6,ut,US,423330,140249,179479,107392
2021,9,6,va,US,1167564,384335,501595,292221
2021,9,6,vi,US,95,79,0,0
2021,9,6,vt,US,51641,21255,25058,15251
2021,9,6,wa,US,811415,291299,348920,226421
2021,9,6,wi,US,825184,298099,392745,230627
2021,9,6,wv,US,273359,100040,131619,78269
2021,9,6,wy,US,75504,29952,33103,20824
2021,9,6,yt,CA,207,163,207,163
2021,9,7,ALL,"",58803599,16048025,23237547,12887976
2021,9,7,ALL_CA,CA,506849,304219,506849,304219
2021,9,7,ALL_US,US,58296750,15744059,22730698,12583757
2021,9,7,ab,CA,70543,42513,70543,42513
2021,9,7,ak,US,68044,21304,24412,15528
2021,9,7,al,US,1615712,410598,631575,340153
2021,9,7,ar,US,900560,229263,350846,186943
2021,9,7,as,US,7,7,2,2
2021,9,7,az,US,1136298,309727,413232,244538
2021,9,7,bc,CA,62514,38877,62514,38877
2021,9,7,ca,US,4662341,1293355,1699494,1007350
2021,9,7,co,US,911923,258836,321772,185785
2021,9,7,ct,US,441144,132669,181866,99126
2021,9,7,dc,US,67522,30017,15383,9389
2021,9,7,de,US,154036,47345,60575,33758
2021,9,7,fl,US,4114462,1094355,1594307,870749
2021,9,7,ga,US,2562408,677308,1001127,536209
2021,9,7,gu,US,31,30,31,30
2021,9,7,hi,US,210116,54300,62061,40643
2021,9,7,ia,US,792773,218826,316154,170545
2021,9,7,id,US,281755,84123,112663,65756
